Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.50
Upper Discriminator:	2035
Lower Discriminator:	111
Calibration Coefficients:	0.0013449595948590986	4.182756716345016	52.51582205954914
Calibration Channels:	106	177	269
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	182.1
Elapsed Live Time:	181.13
Start Time:	February 10, 2015, 03:03:04
End Time:	February 10, 2015, 03:06:06
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	52.51582205954914	0
1	56.69992373548901	0
2	60.88671533061861	0
3	65.07619684493791	0
4	69.26836827844694	0
5	73.4632296311457	0
6	77.66078090303417	0
7	81.86102209411234	0
8	86.06395320438025	0
9	90.26957423383786	0
10	94.47788518248521	0
11	98.68888605032225	0
12	102.90257683734905	0
13	107.11895754356553	0
14	111.33802816897173	8
15	115.55978871356767	983
16	119.78423917735331	1060
17	124.01137956032868	786
18	128.24120986249378	618
19	132.47373008384858	516
20	136.70894022439307	509
21	140.94684028412735	495
22	145.18743026305128	486
23	149.43071016116494	520
24	153.67667997846837	508
25	157.92533971496147	533
26	162.17668937064428	538
27	166.43072894551682	572
28	170.68745843957913	509
29	174.9468778528311	618
30	179.2089871852728	545
31	183.47378643690422	583
32	187.74127560772536	578
33	192.0114546977362	554
34	196.2843237069368	588
35	200.55988263532709	634
36	204.8381314829071	590
37	209.11907024967684	688
38	213.4026989356363	649
39	217.68901754078541	692
40	221.9780260651243	750
41	226.26972450865293	726
42	230.56411287137126	737
43	234.86119115327926	781
44	239.16095935437704	788
45	243.46341747466454	789
46	247.7685655141417	788
47	252.07640347280864	743
48	256.3869313506653	796
49	260.7001491477116	802
50	265.01605686394765	815
51	269.33465449937347	808
52	273.65594205398895	840
53	277.97991952779415	757
54	282.30658692078913	832
55	286.63594423297377	816
56	290.96799146434813	753
57	295.30272861491227	796
58	299.64015568466607	725
59	303.9802726736096	738
60	308.32307958174283	708
61	312.6685764090658	743
62	317.0167631555785	679
63	321.3676398212809	705
64	325.721206406173	639
65	330.07746291025484	646
66	334.4364093335264	665
67	338.7980456759877	627
68	343.1623719376386	599
69	347.52938811847935	591
70	351.8990942185098	609
71	356.27149023772995	577
72	360.64657617613983	536
73	365.02435203373943	548
74	369.4048178105287	566
75	373.78797350650774	533
76	378.17381912167644	548
77	382.5623546560349	553
78	386.9535801095831	511
79	391.347495482321	513
80	395.7441007742486	505
81	400.14339598536594	508
82	404.54538111567297	508
83	408.9500561651697	475
84	413.3574211338563	488
85	417.7674760217325	508
86	422.1802208287984	499
87	426.595655555054	466
88	431.01378020049935	418
89	435.4345947651344	445
90	439.8580992489592	425
91	444.2842936519737	411
92	448.71317797417794	429
93	453.1447522155719	443
94	457.57901637615555	458
95	462.01597045592894	419
96	466.4556144548921	409
97	470.8979483730449	434
98	475.3429722103875	419
99	479.79068596691974	413
100	484.24108964264167	450
101	488.6941832375534	435
102	493.1499667516548	411
103	497.6084401849459	379
104	502.06960353742676	413
105	506.53345680909734	434
106	510.9999999999576	418
107	515.4692331100076	429
108	519.9411561392474	438
109	524.4157690876768	397
110	528.893071955296	431
111	533.3730647421048	444
112	537.8557474481034	441
113	542.3411200732918	386
114	546.8291826176697	395
115	551.3199350812375	449
116	555.813377463995	409
117	560.3095097659422	425
118	564.8083319870791	391
119	569.3098441274057	400
120	573.814046186922	425
121	578.320938165628	395
122	582.8305200635239	425
123	587.3427918806094	376
124	591.8577536168846	455
125	596.3754052723496	419
126	600.8957468470041	411
127	605.4187783408485	379
128	609.9444997538826	345
129	614.4729110861064	351
130	619.00401233752	335
131	623.5378035081231	321
132	628.0742845979161	259
133	632.6134556068988	227
134	637.1553165350712	201
135	641.6998673824332	170
136	646.2471081489851	169
137	650.7970388347267	155
138	655.3496594396579	110
139	659.9049699637789	129
140	664.4629704070896	107
141	669.0236607695902	91
142	673.5870410512803	79
143	678.1531112521601	61
144	682.7218713722297	59
145	687.2933214114889	71
146	691.867461369938	59
147	696.4442912475768	55
148	701.0238110444052	51
149	705.6060207604233	54
150	710.1909203956312	64
151	714.7785099500288	64
152	719.3687894236161	81
153	723.9617588163932	88
154	728.5574181283599	89
155	733.1557673595164	109
156	737.7568065098626	133
157	742.3605355793985	208
158	746.9669545681242	235
159	751.5760634760395	278
160	756.1878623031445	348
161	760.8023510494393	340
162	765.4195297149238	376
163	770.039398299598	501
164	774.661956803462	547
165	779.2872052265157	557
166	783.9151435687589	647
167	788.5457718301922	704
168	793.179090010815	807
169	797.8150981106276	947
170	802.4537961296297	1026
171	807.0951840678217	1014
172	811.7392619252034	1214
173	816.3860297017749	1268
174	821.0354873975359	1277
175	825.6876350124868	1307
176	830.3424725466274	1253
