Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.89
Upper Discriminator:	1043
Lower Discriminator:	11
Calibration Coefficients:	-2.944532488114106	0.9984152139461173
Calibration Channels:	106	177
Calibration Energies:	511.0	835.0
Elapsed Real Time:	257.54
Elapsed Live Time:	239.95
Start Time:	February 10, 2015, 03:59:40
End Time:	February 10, 2015, 04:03:57
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-2.944532488114106	0
1	-1.9461172741679889	1
2	-0.9477020602218715	0
3	0.050713153724245785	0
4	1.049128367670363	3
5	2.0475435816164804	1
6	3.0459587955625977	9
7	4.044374009508715	18
8	5.042789223454832	26
9	6.04120443740095	14
10	7.039619651347067	25
11	8.038034865293184	26
12	9.036450079239302	32
13	10.034865293185419	36
14	11.033280507131536	71
15	12.031695721077654	1453
16	13.030110935023771	2095
17	14.028526148969888	2377
18	15.026941362916006	2426
19	16.025356576862123	2604
20	17.02377179080824	2927
21	18.022187004754358	3423
22	19.020602218700475	4337
23	20.019017432646592	6143
24	21.01743264659271	9829
25	22.015847860538827	15907
26	23.014263074484944	24962
27	24.01267828843106	37182
28	25.01109350237718	51881
29	26.009508716323296	64805
30	27.007923930269413	73815
31	28.00633914421553	75618
32	29.004754358161648	70235
33	30.003169572107765	61487
34	31.001584786053883	49045
35	32.0	38342
36	32.99841521394612	28453
37	33.996830427892235	20929
38	34.99524564183835	14958
39	35.99366085578447	10707
40	36.99207606973059	7598
41	37.990491283676704	5508
42	38.98890649762282	4025
43	39.98732171156894	3373
44	40.985736925515056	2741
45	41.98415213946117	2502
46	42.98256735340729	2509
47	43.98098256735341	2476
48	44.979397781299525	2574
49	45.97781299524564	2879
50	46.97622820919176	2868
51	47.97464342313788	3103
52	48.973058637083994	3205
53	49.97147385103011	3324
54	50.96988906497623	3440
55	51.968304278922346	3307
56	52.966719492868464	3317
57	53.96513470681458	3348
58	54.9635499207607	3208
59	55.961965134706816	3029
60	56.96038034865293	3027
61	57.95879556259905	2971
62	58.95721077654517	3013
63	59.955625990491285	3044
64	60.9540412044374	3339
65	61.95245641838352	3396
66	62.95087163232964	3660
67	63.949286846275754	3866
68	64.94770206022187	4121
69	65.94611727416799	4361
70	66.9445324881141	4755
71	67.94294770206022	5083
72	68.94136291600634	5462
73	69.93977812995246	6029
74	70.93819334389858	6708
75	71.93660855784469	7618
76	72.93502377179081	8512
77	73.93343898573693	9799
78	74.93185419968304	10776
79	75.93026941362916	12190
80	76.92868462757528	13645
81	77.9270998415214	15148
82	78.92551505546751	16412
83	79.92393026941363	18276
84	80.92234548335975	19044
85	81.92076069730587	19705
86	82.91917591125198	20171
87	83.9175911251981	19929
88	84.91600633914422	18936
89	85.91442155309034	17892
90	86.91283676703645	16304
91	87.91125198098257	14783
92	88.90966719492869	12619
93	89.9080824088748	10885
94	90.90649762282092	9046
95	91.90491283676704	7162
96	92.90332805071316	5889
97	93.90174326465927	4491
98	94.90015847860539	3523
99	95.89857369255151	2861
100	96.89698890649763	2250
101	97.89540412044374	1779
102	98.89381933438986	1480
103	99.89223454833598	1366
104	100.8906497622821	1236
105	101.88906497622821	1139
106	102.88748019017433	1065
107	103.88589540412045	1115
108	104.88431061806656	1103
109	105.88272583201268	1122
110	106.8811410459588	1202
111	107.87955625990492	1225
112	108.87797147385103	1311
113	109.87638668779715	1356
114	110.87480190174327	1413
115	111.87321711568939	1546
116	112.8716323296355	1576
117	113.87004754358162	1645
118	114.86846275752774	1679
119	115.86687797147385	1784
120	116.86529318541997	1814
121	117.86370839936609	1861
122	118.8621236133122	1927
123	119.86053882725832	1894
124	120.85895404120444	1832
125	121.85736925515056	1938
126	122.85578446909668	1793
127	123.8541996830428	1781
128	124.85261489698891	1650
129	125.85103011093503	1539
130	126.84944532488115	1502
131	127.84786053882726	1388
132	128.84627575277338	1296
